Area Code (M49),Area,Item,Element,Unit,Year,value,Sub-region Name,Food loss percentage
084,Belize,Herbicides â€“ Phenoxy hormone products,Agricultural Use,t,2016,121.0,latin america and the caribbean,12.2
084,Belize,Herbicides â€“ Triazines,Agricultural Use,t,2016,47.0,latin america and the caribbean,12.2
084,Belize,Herbicides â€“ Amides,Agricultural Use,t,2016,2.0,latin america and the caribbean,12.2
084,Belize,Herbicides â€“ Dinitroanilines,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2
084,Belize,Herbicides â€“ Urea derivates,Agricultural Use,t,2016,29.0,latin america and the caribbean,12.2
084,Belize,Herbicides â€“ Sulfonyl ureas,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2
084,Belize,Herbicides â€“ Bipiridils,Agricultural Use,t,2016,35.0,latin america and the caribbean,12.2
084,Belize,Herbicides - nes,Agricultural Use,t,2016,212.0,latin america and the caribbean,12.2
084,Belize,Fungicides and Bactericides,Agricultural Use,t,2016,263.0,latin america and the caribbean,12.2
084,Belize,Fung & Bact â€“ Dithiocarbamates,Agricultural Use,t,2016,87.0,latin america and the caribbean,12.2
084,Belize,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2016,3.0,latin america and the caribbean,12.2
084,Belize,"Fung & Bact â€“ Diazines, morpholines",Agricultural Use,t,2016,2.0,latin america and the caribbean,12.2
084,Belize,Fung & Bact - nes,Agricultural Use,t,2016,170.0,latin america and the caribbean,12.2
084,Belize,Plant Growth Regulators,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2
084,Belize,Other Pesticides nes,Agricultural Use,t,2016,498.0,latin america and the caribbean,12.2
060,Bermuda,Pesticides (total),Agricultural Use,t,2016,179.0,northern america,13.3
060,Bermuda,Pesticides (total),Use per capita,kg/cap,2016,2.82,northern america,13.3
060,Bermuda,Insecticides,Agricultural Use,t,2016,48.0,northern america,13.3
060,Bermuda,Herbicides,Agricultural Use,t,2016,24.0,northern america,13.3
060,Bermuda,Fungicides and Bactericides,Agricultural Use,t,2016,27.0,northern america,13.3
060,Bermuda,Plant Growth Regulators,Agricultural Use,t,2016,3.0,northern america,13.3
060,Bermuda,Rodenticides,Agricultural Use,t,2016,47.0,northern america,13.3
060,Bermuda,Other Pesticides nes,Agricultural Use,t,2016,31.0,northern america,13.3
068,Bolivia (Plurinational State of),Pesticides (total),Agricultural Use,t,2016,16392.0,latin america and the caribbean,12.2
068,Bolivia (Plurinational State of),Pesticides (total),Use per area of cropland,kg/ha,2016,3.22,latin america and the caribbean,12.2
068,Bolivia (Plurinational State of),Pesticides (total),Use per capita,kg/cap,2016,1.47,latin america and the caribbean,12.2
068,Bolivia (Plurinational State of),Pesticides (total),Use per value of agricultural production,g/Int$,2016,2.54,latin america and the caribbean,12.2
068,Bolivia (Plurinational State of),Insecticides,Agricultural Use,t,2016,3554.0,latin america and the caribbean,12.2
068,Bolivia (Plurinational State of),Herbicides,Agricultural Use,t,2016,9186.0,latin america and the caribbean,12.2
068,Bolivia (Plurinational State of),Fungicides and Bactericides,Agricultural Use,t,2016,3446.0,latin america and the caribbean,12.2
068,Bolivia (Plurinational State of),Rodenticides,Agricultural Use,t,2016,120.0,latin america and the caribbean,12.2
068,Bolivia (Plurinational State of),Other Pesticides nes,Agricultural Use,t,2016,87.0,latin america and the caribbean,12.2
076,Brazil,Pesticides (total),Agricultural Use,t,2016,514829.0,latin america and the caribbean,12.2
076,Brazil,Pesticides (total),Use per area of cropland,kg/ha,2016,8.14,latin america and the caribbean,12.2
076,Brazil,Pesticides (total),Use per capita,kg/cap,2016,2.53,latin america and the caribbean,12.2
076,Brazil,Pesticides (total),Use per value of agricultural production,g/Int$,2016,2.32,latin america and the caribbean,12.2
076,Brazil,Insecticides,Agricultural Use,t,2016,87459.0,latin america and the caribbean,12.2
076,Brazil,Herbicides,Agricultural Use,t,2016,322755.0,latin america and the caribbean,12.2
076,Brazil,Fungicides and Bactericides,Agricultural Use,t,2016,92000.0,latin america and the caribbean,12.2
076,Brazil,Plant Growth Regulators,Agricultural Use,t,2016,2163.0,latin america and the caribbean,12.2
076,Brazil,Other Pesticides nes,Agricultural Use,t,2016,10451.0,latin america and the caribbean,12.2
092,British Virgin Islands,Pesticides (total),Agricultural Use,t,2016,18.0,latin america and the caribbean,12.2
092,British Virgin Islands,Pesticides (total),Use per area of cropland,kg/ha,2016,8.79,latin america and the caribbean,12.2
092,British Virgin Islands,Pesticides (total),Use per capita,kg/cap,2016,0.52,latin america and the caribbean,12.2
092,British Virgin Islands,Insecticides,Agricultural Use,t,2016,2.0,latin america and the caribbean,12.2
092,British Virgin Islands,Herbicides,Agricultural Use,t,2016,11.0,latin america and the caribbean,12.2
092,British Virgin Islands,Fungicides and Bactericides,Agricultural Use,t,2016,3.0,latin america and the caribbean,12.2
092,British Virgin Islands,Other Pesticides nes,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2
124,Canada,Pesticides (total),Agricultural Use,t,2016,90926.0,northern america,13.3
124,Canada,Pesticides (total),Use per area of cropland,kg/ha,2016,2.35,northern america,13.3
124,Canada,Pesticides (total),Use per capita,kg/cap,2016,2.5,northern america,13.3
124,Canada,Pesticides (total),Use per value of agricultural production,g/Int$,2016,1.86,northern america,13.3
124,Canada,Insecticides,Agricultural Use,t,2016,5089.0,northern america,13.3
124,Canada,Herbicides,Agricultural Use,t,2016,65444.0,northern america,13.3
124,Canada,Fungicides and Bactericides,Agricultural Use,t,2016,9083.0,northern america,13.3
124,Canada,Rodenticides,Agricultural Use,t,2016,37.0,northern america,13.3
124,Canada,Other Pesticides nes,Agricultural Use,t,2016,11273.0,northern america,13.3
136,Cayman Islands,Pesticides (total),Agricultural Use,t,2016,569.0,latin america and the caribbean,12.2
136,Cayman Islands,Insecticides,Agricultural Use,t,2016,82.0,latin america and the caribbean,12.2
136,Cayman Islands,Herbicides,Agricultural Use,t,2016,365.0,latin america and the caribbean,12.2
136,Cayman Islands,Fungicides and Bactericides,Agricultural Use,t,2016,82.0,latin america and the caribbean,12.2
136,Cayman Islands,Plant Growth Regulators,Agricultural Use,t,2016,2.0,latin america and the caribbean,12.2
136,Cayman Islands,Other Pesticides nes,Agricultural Use,t,2016,39.0,latin america and the caribbean,12.2
152,Chile,Pesticides (total),Agricultural Use,t,2016,11817.0,latin america and the caribbean,12.2
152,Chile,Pesticides (total),Use per area of cropland,kg/ha,2016,5.95,latin america and the caribbean,12.2
152,Chile,Pesticides (total),Use per capita,kg/cap,2016,0.65,latin america and the caribbean,12.2
152,Chile,Pesticides (total),Use per value of agricultural production,g/Int$,2016,0.96,latin america and the caribbean,12.2
152,Chile,Insecticides,Agricultural Use,t,2016,1726.0,latin america and the caribbean,12.2
152,Chile,Herbicides,Agricultural Use,t,2016,2018.0,latin america and the caribbean,12.2
152,Chile,Fungicides and Bactericides,Agricultural Use,t,2016,5317.0,latin america and the caribbean,12.2
152,Chile,Plant Growth Regulators,Agricultural Use,t,2016,509.0,latin america and the caribbean,12.2
152,Chile,Rodenticides,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2
152,Chile,Other Pesticides nes,Agricultural Use,t,2016,2245.0,latin america and the caribbean,12.2
170,Colombia,Pesticides (total),Agricultural Use,t,2016,32392.0,latin america and the caribbean,12.2
170,Colombia,Pesticides (total),Use per area of cropland,kg/ha,2016,8.59,latin america and the caribbean,12.2
170,Colombia,Pesticides (total),Use per capita,kg/cap,2016,0.68,latin america and the caribbean,12.2
170,Colombia,Pesticides (total),Use per value of agricultural production,g/Int$,2016,1.42,latin america and the caribbean,12.2
170,Colombia,Insecticides,Agricultural Use,t,2016,3210.0,latin america and the caribbean,12.2
170,Colombia,Herbicides,Agricultural Use,t,2016,20400.0,latin america and the caribbean,12.2
170,Colombia,Fungicides and Bactericides,Agricultural Use,t,2016,8782.0,latin america and the caribbean,12.2
188,Costa Rica,Pesticides (total),Agricultural Use,t,2016,11633.0,latin america and the caribbean,12.2
188,Costa Rica,Pesticides (total),Use per area of cropland,kg/ha,2016,21.79,latin america and the caribbean,12.2
188,Costa Rica,Pesticides (total),Use per capita,kg/cap,2016,2.39,latin america and the caribbean,12.2
188,Costa Rica,Pesticides (total),Use per value of agricultural production,g/Int$,2016,2.58,latin america and the caribbean,12.2
188,Costa Rica,Insecticides,Agricultural Use,t,2016,1598.0,latin america and the caribbean,12.2
188,Costa Rica,Herbicides,Agricultural Use,t,2016,3125.0,latin america and the caribbean,12.2
188,Costa Rica,Fungicides and Bactericides,Agricultural Use,t,2016,6724.0,latin america and the caribbean,12.2
188,Costa Rica,Plant Growth Regulators,Agricultural Use,t,2016,12.0,latin america and the caribbean,12.2
188,Costa Rica,Other Pesticides nes,Agricultural Use,t,2016,174.0,latin america and the caribbean,12.2
192,Cuba,Pesticides (total),Agricultural Use,t,2016,3549.0,latin america and the caribbean,12.2
192,Cuba,Pesticides (total),Use per area of cropland,kg/ha,2016,1.02,latin america and the caribbean,12.2
192,Cuba,Pesticides (total),Use per capita,kg/cap,2016,0.32,latin america and the caribbean,12.2
192,Cuba,Pesticides (total),Use per value of agricultural production,g/Int$,2016,0.74,latin america and the caribbean,12.2
192,Cuba,Insecticides,Agricultural Use,t,2016,510.0,latin america and the caribbean,12.2
192,Cuba,Herbicides,Agricultural Use,t,2016,2276.0,latin america and the caribbean,12.2
192,Cuba,Fungicides and Bactericides,Agricultural Use,t,2016,510.0,latin america and the caribbean,12.2
192,Cuba,Plant Growth Regulators,Agricultural Use,t,2016,11.0,latin america and the caribbean,12.2
192,Cuba,Rodenticides,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2
192,Cuba,Other Pesticides nes,Agricultural Use,t,2016,241.0,latin america and the caribbean,12.2
214,Dominican Republic,Pesticides (total),Agricultural Use,t,2016,5874.0,latin america and the caribbean,12.2
214,Dominican Republic,Pesticides (total),Use per area of cropland,kg/ha,2016,4.29,latin america and the caribbean,12.2
214,Dominican Republic,Pesticides (total),Use per capita,kg/cap,2016,0.56,latin america and the caribbean,12.2
214,Dominican Republic,Pesticides (total),Use per value of agricultural production,g/Int$,2016,1.22,latin america and the caribbean,12.2
214,Dominican Republic,Insecticides,Agricultural Use,t,2016,1514.0,latin america and the caribbean,12.2
214,Dominican Republic,Herbicides,Agricultural Use,t,2016,2150.0,latin america and the caribbean,12.2
214,Dominican Republic,Fungicides and Bactericides,Agricultural Use,t,2016,1646.0,latin america and the caribbean,12.2
214,Dominican Republic,Plant Growth Regulators,Agricultural Use,t,2016,30.0,latin america and the caribbean,12.2
214,Dominican Republic,Rodenticides,Agricultural Use,t,2016,105.0,latin america and the caribbean,12.2
214,Dominican Republic,Other Pesticides nes,Agricultural Use,t,2016,429.0,latin america and the caribbean,12.2
218,Ecuador,Pesticides (total),Agricultural Use,t,2016,39240.0,latin america and the caribbean,12.2
218,Ecuador,Pesticides (total),Use per area of cropland,kg/ha,2016,16.25,latin america and the caribbean,12.2
218,Ecuador,Pesticides (total),Use per capita,kg/cap,2016,2.38,latin america and the caribbean,12.2
218,Ecuador,Pesticides (total),Use per value of agricultural production,g/Int$,2016,4.67,latin america and the caribbean,12.2
218,Ecuador,Insecticides,Agricultural Use,t,2016,6827.0,latin america and the caribbean,12.2
218,Ecuador,Herbicides,Agricultural Use,t,2016,12916.0,latin america and the caribbean,12.2
218,Ecuador,Fungicides and Bactericides,Agricultural Use,t,2016,12939.0,latin america and the caribbean,12.2
218,Ecuador,Other Pesticides nes,Agricultural Use,t,2016,6558.0,latin america and the caribbean,12.2
222,El Salvador,Pesticides (total),Agricultural Use,t,2016,1419.0,latin america and the caribbean,12.2
222,El Salvador,Pesticides (total),Use per area of cropland,kg/ha,2016,1.61,latin america and the caribbean,12.2
222,El Salvador,Pesticides (total),Use per capita,kg/cap,2016,0.23,latin america and the caribbean,12.2
222,El Salvador,Pesticides (total),Use per value of agricultural production,g/Int$,2016,0.87,latin america and the caribbean,12.2
222,El Salvador,Insecticides,Agricultural Use,t,2016,1291.0,latin america and the caribbean,12.2
222,El Salvador,Insecticides â€“ Organo-phosphates,Agricultural Use,t,2016,3042.0,latin america and the caribbean,12.2
222,El Salvador,Insecticides â€“ Carbamates,Agricultural Use,t,2016,50.0,latin america and the caribbean,12.2
222,El Salvador,Insecticides â€“ Pyrethroids,Agricultural Use,t,2016,20.0,latin america and the caribbean,12.2
222,El Salvador,Herbicides,Agricultural Use,t,2016,61.0,latin america and the caribbean,12.2
222,El Salvador,Herbicides â€“ Carbamates,Agricultural Use,t,2016,25.0,latin america and the caribbean,12.2
222,El Salvador,Fungicides and Bactericides,Agricultural Use,t,2016,61.0,latin america and the caribbean,12.2
222,El Salvador,Fung & Bact â€“ Dithiocarbamates,Agricultural Use,t,2016,58.0,latin america and the caribbean,12.2
222,El Salvador,Fung & Bact â€“ Benzimidazoles,Agricultural Use,t,2016,3.0,latin america and the caribbean,12.2
222,El Salvador,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2
222,El Salvador,Rodenticides,Agricultural Use,t,2016,6.0,latin america and the caribbean,12.2
238,Falkland Islands (Malvinas),Pesticides (total),Use per capita,kg/cap,2016,0.09,latin america and the caribbean,12.2
304,Greenland,Pesticides (total),Agricultural Use,t,2016,7.0,northern america,13.3
304,Greenland,Pesticides (total),Use per capita,kg/cap,2016,0.12,northern america,13.3
304,Greenland,Insecticides,Agricultural Use,t,2016,1.0,northern america,13.3
304,Greenland,Herbicides,Agricultural Use,t,2016,4.0,northern america,13.3
304,Greenland,Fungicides and Bactericides,Agricultural Use,t,2016,1.0,northern america,13.3
308,Grenada,Pesticides (total),Agricultural Use,t,2016,115.0,latin america and the caribbean,12.2
308,Grenada,Pesticides (total),Use per area of cropland,kg/ha,2016,16.38,latin america and the caribbean,12.2
308,Grenada,Pesticides (total),Use per capita,kg/cap,2016,1.0,latin america and the caribbean,12.2
308,Grenada,Pesticides (total),Use per value of agricultural production,g/Int$,2016,3.48,latin america and the caribbean,12.2
308,Grenada,Insecticides,Agricultural Use,t,2016,16.0,latin america and the caribbean,12.2
308,Grenada,Herbicides,Agricultural Use,t,2016,74.0,latin america and the caribbean,12.2
308,Grenada,Fungicides and Bactericides,Agricultural Use,t,2016,16.0,latin america and the caribbean,12.2
308,Grenada,Other Pesticides nes,Agricultural Use,t,2016,8.0,latin america and the caribbean,12.2
320,Guatemala,Pesticides (total),Agricultural Use,t,2016,11444.0,latin america and the caribbean,12.2
320,Guatemala,Pesticides (total),Use per area of cropland,kg/ha,2016,4.29,latin america and the caribbean,12.2
320,Guatemala,Pesticides (total),Use per capita,kg/cap,2016,0.7,latin america and the caribbean,12.2
320,Guatemala,Pesticides (total),Use per value of agricultural production,g/Int$,2016,1.31,latin america and the caribbean,12.2
320,Guatemala,Insecticides,Agricultural Use,t,2016,551.0,latin america and the caribbean,12.2
320,Guatemala,Herbicides,Agricultural Use,t,2016,6380.0,latin america and the caribbean,12.2
320,Guatemala,Fungicides and Bactericides,Agricultural Use,t,2016,3052.0,latin america and the caribbean,12.2
320,Guatemala,Plant Growth Regulators,Agricultural Use,t,2016,51.0,latin america and the caribbean,12.2
320,Guatemala,Rodenticides,Agricultural Use,t,2016,4.0,latin america and the caribbean,12.2
320,Guatemala,Other Pesticides nes,Agricultural Use,t,2016,1407.0,latin america and the caribbean,12.2
328,Guyana,Pesticides (total),Agricultural Use,t,2016,328.0,latin america and the caribbean,12.2
328,Guyana,Pesticides (total),Use per area of cropland,kg/ha,2016,2.63,latin america and the caribbean,12.2
328,Guyana,Pesticides (total),Use per capita,kg/cap,2016,0.43,latin america and the caribbean,12.2
328,Guyana,Pesticides (total),Use per value of agricultural production,g/Int$,2016,0.45,latin america and the caribbean,12.2
328,Guyana,Insecticides,Agricultural Use,t,2016,64.0,latin america and the caribbean,12.2
328,Guyana,Herbicides,Agricultural Use,t,2016,228.0,latin america and the caribbean,12.2
328,Guyana,Fungicides and Bactericides,Agricultural Use,t,2016,33.0,latin america and the caribbean,12.2
328,Guyana,Other Pesticides nes,Agricultural Use,t,2016,3.0,latin america and the caribbean,12.2
332,Haiti,Pesticides (total),Agricultural Use,t,2016,465.0,latin america and the caribbean,12.2
332,Haiti,Pesticides (total),Use per area of cropland,kg/ha,2016,0.29,latin america and the caribbean,12.2
332,Haiti,Pesticides (total),Use per capita,kg/cap,2016,0.04,latin america and the caribbean,12.2
332,Haiti,Pesticides (total),Use per value of agricultural production,g/Int$,2016,0.23,latin america and the caribbean,12.2
332,Haiti,Insecticides,Agricultural Use,t,2016,194.0,latin america and the caribbean,12.2
332,Haiti,Herbicides,Agricultural Use,t,2016,7.0,latin america and the caribbean,12.2
332,Haiti,Fungicides and Bactericides,Agricultural Use,t,2016,167.0,latin america and the caribbean,12.2
