Area Code (M49),Area,Item,Element,Unit,Year,value,Sub-region Name,Food loss percentage
222,El Salvador,Fung & Bact â€“ Benzimidazoles,Agricultural Use,t,2020,33.0,latin america and the caribbean,12.3
222,El Salvador,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2020,80.0,latin america and the caribbean,12.3
222,El Salvador,Fung & Bact - nes,Agricultural Use,t,2020,59.0,latin america and the caribbean,12.3
222,El Salvador,Plant Growth Regulators,Agricultural Use,t,2020,11.0,latin america and the caribbean,12.3
222,El Salvador,Rodenticides,Agricultural Use,t,2020,28.0,latin america and the caribbean,12.3
222,El Salvador,Rodenticides â€“ Anti-coagulants,Agricultural Use,t,2020,62.0,latin america and the caribbean,12.3
222,El Salvador,Other Pesticides nes,Agricultural Use,t,2020,46.0,latin america and the caribbean,12.3
238,Falkland Islands (Malvinas),Pesticides (total),Use per capita,kg/cap,2020,0.09,latin america and the caribbean,12.3
304,Greenland,Pesticides (total),Agricultural Use,t,2020,9.0,northern america,14.5
304,Greenland,Pesticides (total),Use per capita,kg/cap,2020,0.15,northern america,14.5
304,Greenland,Insecticides,Agricultural Use,t,2020,1.0,northern america,14.5
304,Greenland,Herbicides,Agricultural Use,t,2020,5.0,northern america,14.5
304,Greenland,Fungicides and Bactericides,Agricultural Use,t,2020,1.0,northern america,14.5
304,Greenland,Other Pesticides nes,Agricultural Use,t,2020,1.0,northern america,14.5
308,Grenada,Pesticides (total),Agricultural Use,t,2020,110.0,latin america and the caribbean,12.3
308,Grenada,Pesticides (total),Use per area of cropland,kg/ha,2020,15.73,latin america and the caribbean,12.3
308,Grenada,Pesticides (total),Use per capita,kg/cap,2020,0.95,latin america and the caribbean,12.3
308,Grenada,Pesticides (total),Use per value of agricultural production,g/Int$,2020,3.87,latin america and the caribbean,12.3
308,Grenada,Insecticides,Agricultural Use,t,2020,15.0,latin america and the caribbean,12.3
308,Grenada,Herbicides,Agricultural Use,t,2020,70.0,latin america and the caribbean,12.3
308,Grenada,Fungicides and Bactericides,Agricultural Use,t,2020,18.0,latin america and the caribbean,12.3
308,Grenada,Other Pesticides nes,Agricultural Use,t,2020,7.0,latin america and the caribbean,12.3
320,Guatemala,Pesticides (total),Agricultural Use,t,2020,14242.0,latin america and the caribbean,12.3
320,Guatemala,Pesticides (total),Use per area of cropland,kg/ha,2020,5.2,latin america and the caribbean,12.3
320,Guatemala,Pesticides (total),Use per capita,kg/cap,2020,0.82,latin america and the caribbean,12.3
320,Guatemala,Pesticides (total),Use per value of agricultural production,g/Int$,2020,1.61,latin america and the caribbean,12.3
320,Guatemala,Insecticides,Agricultural Use,t,2020,685.0,latin america and the caribbean,12.3
320,Guatemala,Herbicides,Agricultural Use,t,2020,7940.0,latin america and the caribbean,12.3
320,Guatemala,Fungicides and Bactericides,Agricultural Use,t,2020,3798.0,latin america and the caribbean,12.3
320,Guatemala,Plant Growth Regulators,Agricultural Use,t,2020,63.0,latin america and the caribbean,12.3
320,Guatemala,Rodenticides,Agricultural Use,t,2020,5.0,latin america and the caribbean,12.3
320,Guatemala,Other Pesticides nes,Agricultural Use,t,2020,1751.0,latin america and the caribbean,12.3
328,Guyana,Pesticides (total),Agricultural Use,t,2020,393.0,latin america and the caribbean,12.3
328,Guyana,Pesticides (total),Use per area of cropland,kg/ha,2020,3.15,latin america and the caribbean,12.3
328,Guyana,Pesticides (total),Use per capita,kg/cap,2020,0.49,latin america and the caribbean,12.3
328,Guyana,Pesticides (total),Use per value of agricultural production,g/Int$,2020,0.46,latin america and the caribbean,12.3
328,Guyana,Insecticides,Agricultural Use,t,2020,80.0,latin america and the caribbean,12.3
328,Guyana,Herbicides,Agricultural Use,t,2020,272.0,latin america and the caribbean,12.3
328,Guyana,Fungicides and Bactericides,Agricultural Use,t,2020,38.0,latin america and the caribbean,12.3
328,Guyana,Other Pesticides nes,Agricultural Use,t,2020,3.0,latin america and the caribbean,12.3
332,Haiti,Pesticides (total),Agricultural Use,t,2020,775.0,latin america and the caribbean,12.3
332,Haiti,Pesticides (total),Use per area of cropland,kg/ha,2020,0.6,latin america and the caribbean,12.3
332,Haiti,Pesticides (total),Use per capita,kg/cap,2020,0.07,latin america and the caribbean,12.3
332,Haiti,Pesticides (total),Use per value of agricultural production,g/Int$,2020,0.51,latin america and the caribbean,12.3
332,Haiti,Insecticides,Agricultural Use,t,2020,323.0,latin america and the caribbean,12.3
332,Haiti,Herbicides,Agricultural Use,t,2020,11.0,latin america and the caribbean,12.3
332,Haiti,Fungicides and Bactericides,Agricultural Use,t,2020,278.0,latin america and the caribbean,12.3
332,Haiti,Rodenticides,Agricultural Use,t,2020,163.0,latin america and the caribbean,12.3
340,Honduras,Pesticides (total),Agricultural Use,t,2020,11722.0,latin america and the caribbean,12.3
340,Honduras,Pesticides (total),Use per area of cropland,kg/ha,2020,7.35,latin america and the caribbean,12.3
340,Honduras,Pesticides (total),Use per capita,kg/cap,2020,1.16,latin america and the caribbean,12.3
340,Honduras,Pesticides (total),Use per value of agricultural production,g/Int$,2020,3.62,latin america and the caribbean,12.3
340,Honduras,Insecticides,Agricultural Use,t,2020,166.0,latin america and the caribbean,12.3
340,Honduras,Herbicides,Agricultural Use,t,2020,7818.0,latin america and the caribbean,12.3
340,Honduras,Fungicides and Bactericides,Agricultural Use,t,2020,1263.0,latin america and the caribbean,12.3
340,Honduras,Plant Growth Regulators,Agricultural Use,t,2020,1299.0,latin america and the caribbean,12.3
340,Honduras,Other Pesticides nes,Agricultural Use,t,2020,1175.0,latin america and the caribbean,12.3
388,Jamaica,Pesticides (total),Agricultural Use,t,2020,1853.0,latin america and the caribbean,12.3
388,Jamaica,Pesticides (total),Use per area of cropland,kg/ha,2020,9.86,latin america and the caribbean,12.3
388,Jamaica,Pesticides (total),Use per capita,kg/cap,2020,0.65,latin america and the caribbean,12.3
388,Jamaica,Pesticides (total),Use per value of agricultural production,g/Int$,2020,2.32,latin america and the caribbean,12.3
388,Jamaica,Insecticides,Agricultural Use,t,2020,609.0,latin america and the caribbean,12.3
388,Jamaica,Herbicides,Agricultural Use,t,2020,662.0,latin america and the caribbean,12.3
388,Jamaica,Fungicides and Bactericides,Agricultural Use,t,2020,528.0,latin america and the caribbean,12.3
388,Jamaica,Plant Growth Regulators,Agricultural Use,t,2020,10.0,latin america and the caribbean,12.3
388,Jamaica,Rodenticides,Agricultural Use,t,2020,44.0,latin america and the caribbean,12.3
484,Mexico,Pesticides (total),Agricultural Use,t,2020,38883.0,latin america and the caribbean,12.3
484,Mexico,Pesticides (total),Use per area of cropland,kg/ha,2020,1.5,latin america and the caribbean,12.3
484,Mexico,Pesticides (total),Use per capita,kg/cap,2020,0.31,latin america and the caribbean,12.3
484,Mexico,Pesticides (total),Use per value of agricultural production,g/Int$,2020,0.61,latin america and the caribbean,12.3
484,Mexico,Insecticides,Agricultural Use,t,2020,8076.0,latin america and the caribbean,12.3
484,Mexico,Herbicides,Agricultural Use,t,2020,6682.0,latin america and the caribbean,12.3
484,Mexico,Fungicides and Bactericides,Agricultural Use,t,2020,24125.0,latin america and the caribbean,12.3
500,Montserrat,Pesticides (total),Agricultural Use,t,2020,18.0,latin america and the caribbean,12.3
500,Montserrat,Pesticides (total),Use per area of cropland,kg/ha,2020,8.98,latin america and the caribbean,12.3
500,Montserrat,Pesticides (total),Use per capita,kg/cap,2020,3.98,latin america and the caribbean,12.3
500,Montserrat,Insecticides,Agricultural Use,t,2020,2.0,latin america and the caribbean,12.3
500,Montserrat,Herbicides,Agricultural Use,t,2020,11.0,latin america and the caribbean,12.3
500,Montserrat,Fungicides and Bactericides,Agricultural Use,t,2020,3.0,latin america and the caribbean,12.3
500,Montserrat,Other Pesticides nes,Agricultural Use,t,2020,1.0,latin america and the caribbean,12.3
558,Nicaragua,Pesticides (total),Agricultural Use,t,2020,15658.0,latin america and the caribbean,12.3
558,Nicaragua,Pesticides (total),Use per area of cropland,kg/ha,2020,8.7,latin america and the caribbean,12.3
558,Nicaragua,Pesticides (total),Use per capita,kg/cap,2020,2.39,latin america and the caribbean,12.3
558,Nicaragua,Pesticides (total),Use per value of agricultural production,g/Int$,2020,4.81,latin america and the caribbean,12.3
558,Nicaragua,Insecticides,Agricultural Use,t,2020,1629.0,latin america and the caribbean,12.3
558,Nicaragua,Insecticides - Biopesticides,Agricultural Use,t,2020,220.0,latin america and the caribbean,12.3
558,Nicaragua,Herbicides,Agricultural Use,t,2020,10857.0,latin america and the caribbean,12.3
558,Nicaragua,Fungicides and Bactericides,Agricultural Use,t,2020,3163.0,latin america and the caribbean,12.3
558,Nicaragua,Plant Growth Regulators,Agricultural Use,t,2020,9.0,latin america and the caribbean,12.3
591,Panama,Pesticides (total),Agricultural Use,t,2020,4393.0,latin america and the caribbean,12.3
591,Panama,Pesticides (total),Use per area of cropland,kg/ha,2020,6.61,latin america and the caribbean,12.3
591,Panama,Pesticides (total),Use per capita,kg/cap,2020,1.02,latin america and the caribbean,12.3
591,Panama,Pesticides (total),Use per value of agricultural production,g/Int$,2020,2.68,latin america and the caribbean,12.3
591,Panama,Insecticides,Agricultural Use,t,2020,694.0,latin america and the caribbean,12.3
591,Panama,Insecticides â€“ Organo-phosphates,Agricultural Use,t,2020,198.0,latin america and the caribbean,12.3
591,Panama,Insecticides â€“ Carbamates,Agricultural Use,t,2020,338.0,latin america and the caribbean,12.3
591,Panama,Insecticides â€“ Pyrethroids,Agricultural Use,t,2020,141.0,latin america and the caribbean,12.3
591,Panama,Insecticides - Biopesticides,Agricultural Use,t,2020,10.0,latin america and the caribbean,12.3
591,Panama,Insecticides - nes,Agricultural Use,t,2020,76.0,latin america and the caribbean,12.3
591,Panama,Herbicides,Agricultural Use,t,2020,3327.0,latin america and the caribbean,12.3
591,Panama,Herbicides â€“ Phenoxy hormone products,Agricultural Use,t,2020,224.0,latin america and the caribbean,12.3
591,Panama,Herbicides â€“ Triazines,Agricultural Use,t,2020,105.0,latin america and the caribbean,12.3
591,Panama,Herbicides â€“ Amides,Agricultural Use,t,2020,12.0,latin america and the caribbean,12.3
591,Panama,Herbicides â€“ Carbamates,Agricultural Use,t,2020,1.0,latin america and the caribbean,12.3
591,Panama,Herbicides â€“ Dinitroanilines,Agricultural Use,t,2020,35.0,latin america and the caribbean,12.3
591,Panama,Herbicides â€“ Urea derivates,Agricultural Use,t,2020,10.0,latin america and the caribbean,12.3
591,Panama,Herbicides â€“ Sulfonyl ureas,Agricultural Use,t,2020,19.0,latin america and the caribbean,12.3
591,Panama,Herbicides â€“ Bipiridils,Agricultural Use,t,2020,354.0,latin america and the caribbean,12.3
591,Panama,Herbicides - nes,Agricultural Use,t,2020,1581.0,latin america and the caribbean,12.3
591,Panama,Fungicides and Bactericides,Agricultural Use,t,2020,372.0,latin america and the caribbean,12.3
591,Panama,Fung & Bact â€“ Inorganics,Agricultural Use,t,2020,7.0,latin america and the caribbean,12.3
591,Panama,Fung & Bact â€“ Dithiocarbamates,Agricultural Use,t,2020,403.0,latin america and the caribbean,12.3
591,Panama,Fung & Bact â€“ Benzimidazoles,Agricultural Use,t,2020,8.0,latin america and the caribbean,12.3
591,Panama,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2020,24.0,latin america and the caribbean,12.3
591,Panama,"Fung & Bact â€“ Diazines, morpholines",Agricultural Use,t,2020,28.0,latin america and the caribbean,12.3
591,Panama,Fung & Bact - nes,Agricultural Use,t,2020,150.0,latin america and the caribbean,12.3
600,Paraguay,Pesticides (total),Agricultural Use,t,2020,17435.0,latin america and the caribbean,12.3
600,Paraguay,Pesticides (total),Use per area of cropland,kg/ha,2020,3.9,latin america and the caribbean,12.3
600,Paraguay,Pesticides (total),Use per capita,kg/cap,2020,2.64,latin america and the caribbean,12.3
600,Paraguay,Pesticides (total),Use per value of agricultural production,g/Int$,2020,1.66,latin america and the caribbean,12.3
600,Paraguay,Insecticides,Agricultural Use,t,2020,2440.0,latin america and the caribbean,12.3
600,Paraguay,Insecticides â€“ Carbamates,Agricultural Use,t,2020,191.0,latin america and the caribbean,12.3
600,Paraguay,Insecticides â€“ Pyrethroids,Agricultural Use,t,2020,718.0,latin america and the caribbean,12.3
600,Paraguay,Insecticides - Biopesticides,Agricultural Use,t,2020,47.0,latin america and the caribbean,12.3
600,Paraguay,Insecticides - nes,Agricultural Use,t,2020,1362.0,latin america and the caribbean,12.3
600,Paraguay,Herbicides,Agricultural Use,t,2020,10379.0,latin america and the caribbean,12.3
600,Paraguay,Herbicides â€“ Amides,Agricultural Use,t,2020,2054.0,latin america and the caribbean,12.3
600,Paraguay,Herbicides â€“ Bipiridils,Agricultural Use,t,2020,5924.0,latin america and the caribbean,12.3
600,Paraguay,Herbicides - nes,Agricultural Use,t,2020,31086.0,latin america and the caribbean,12.3
600,Paraguay,Fungicides and Bactericides,Agricultural Use,t,2020,3867.0,latin america and the caribbean,12.3
600,Paraguay,Fung & Bact â€“ Dithiocarbamates,Agricultural Use,t,2020,4140.0,latin america and the caribbean,12.3
600,Paraguay,Fung & Bact - nes,Agricultural Use,t,2020,5046.0,latin america and the caribbean,12.3
600,Paraguay,Plant Growth Regulators,Agricultural Use,t,2020,1.0,latin america and the caribbean,12.3
600,Paraguay,Rodenticides,Agricultural Use,t,2020,2.0,latin america and the caribbean,12.3
600,Paraguay,Other Pesticides nes,Agricultural Use,t,2020,746.0,latin america and the caribbean,12.3
604,Peru,Pesticides (total),Agricultural Use,t,2020,13401.0,latin america and the caribbean,12.3
604,Peru,Pesticides (total),Use per area of cropland,kg/ha,2020,2.16,latin america and the caribbean,12.3
604,Peru,Pesticides (total),Use per capita,kg/cap,2020,0.41,latin america and the caribbean,12.3
604,Peru,Pesticides (total),Use per value of agricultural production,g/Int$,2020,0.76,latin america and the caribbean,12.3
604,Peru,Insecticides,Agricultural Use,t,2020,2432.0,latin america and the caribbean,12.3
604,Peru,Herbicides,Agricultural Use,t,2020,5559.0,latin america and the caribbean,12.3
604,Peru,Fungicides and Bactericides,Agricultural Use,t,2020,4448.0,latin america and the caribbean,12.3
604,Peru,Plant Growth Regulators,Agricultural Use,t,2020,915.0,latin america and the caribbean,12.3
604,Peru,Rodenticides,Agricultural Use,t,2020,13.0,latin america and the caribbean,12.3
604,Peru,Other Pesticides nes,Agricultural Use,t,2020,34.0,latin america and the caribbean,12.3
659,Saint Kitts and Nevis,Pesticides (total),Agricultural Use,t,2020,101.0,latin america and the caribbean,12.3
659,Saint Kitts and Nevis,Pesticides (total),Use per area of cropland,kg/ha,2020,19.89,latin america and the caribbean,12.3
659,Saint Kitts and Nevis,Pesticides (total),Use per capita,kg/cap,2020,2.16,latin america and the caribbean,12.3
659,Saint Kitts and Nevis,Pesticides (total),Use per value of agricultural production,g/Int$,2020,7.79,latin america and the caribbean,12.3
659,Saint Kitts and Nevis,Insecticides,Agricultural Use,t,2020,19.0,latin america and the caribbean,12.3
659,Saint Kitts and Nevis,Herbicides,Agricultural Use,t,2020,78.0,latin america and the caribbean,12.3
659,Saint Kitts and Nevis,Rodenticides,Agricultural Use,t,2020,4.0,latin america and the caribbean,12.3
662,Saint Lucia,Pesticides (total),Agricultural Use,t,2020,242.0,latin america and the caribbean,12.3
662,Saint Lucia,Pesticides (total),Use per area of cropland,kg/ha,2020,25.33,latin america and the caribbean,12.3
662,Saint Lucia,Pesticides (total),Use per capita,kg/cap,2020,1.36,latin america and the caribbean,12.3
662,Saint Lucia,Pesticides (total),Use per value of agricultural production,g/Int$,2020,8.96,latin america and the caribbean,12.3
662,Saint Lucia,Insecticides,Agricultural Use,t,2020,171.0,latin america and the caribbean,12.3
662,Saint Lucia,Herbicides,Agricultural Use,t,2020,56.0,latin america and the caribbean,12.3
662,Saint Lucia,Fungicides and Bactericides,Agricultural Use,t,2020,16.0,latin america and the caribbean,12.3
670,Saint Vincent and the Grenadines,Pesticides (total),Agricultural Use,t,2020,126.0,latin america and the caribbean,12.3
670,Saint Vincent and the Grenadines,Pesticides (total),Use per area of cropland,kg/ha,2020,25.1,latin america and the caribbean,12.3
670,Saint Vincent and the Grenadines,Pesticides (total),Use per capita,kg/cap,2020,1.21,latin america and the caribbean,12.3
670,Saint Vincent and the Grenadines,Pesticides (total),Use per value of agricultural production,g/Int$,2020,3.01,latin america and the caribbean,12.3
670,Saint Vincent and the Grenadines,Insecticides,Agricultural Use,t,2020,17.0,latin america and the caribbean,12.3
670,Saint Vincent and the Grenadines,Herbicides,Agricultural Use,t,2020,80.0,latin america and the caribbean,12.3
670,Saint Vincent and the Grenadines,Fungicides and Bactericides,Agricultural Use,t,2020,20.0,latin america and the caribbean,12.3
670,Saint Vincent and the Grenadines,Plant Growth Regulators,Agricultural Use,t,2020,1.0,latin america and the caribbean,12.3
670,Saint Vincent and the Grenadines,Other Pesticides nes,Agricultural Use,t,2020,8.0,latin america and the caribbean,12.3
534,Sint Maarten (Dutch part),Pesticides (total),Agricultural Use,t,2020,49.0,latin america and the caribbean,12.3
534,Sint Maarten (Dutch part),Pesticides (total),Use per capita,kg/cap,2020,1.18,latin america and the caribbean,12.3
534,Sint Maarten (Dutch part),Insecticides,Agricultural Use,t,2020,7.0,latin america and the caribbean,12.3
534,Sint Maarten (Dutch part),Herbicides,Agricultural Use,t,2020,31.0,latin america and the caribbean,12.3
534,Sint Maarten (Dutch part),Fungicides and Bactericides,Agricultural Use,t,2020,8.0,latin america and the caribbean,12.3
534,Sint Maarten (Dutch part),Other Pesticides nes,Agricultural Use,t,2020,3.0,latin america and the caribbean,12.3
740,Suriname,Pesticides (total),Agricultural Use,t,2020,907.0,latin america and the caribbean,12.3
740,Suriname,Pesticides (total),Use per area of cropland,kg/ha,2020,13.95,latin america and the caribbean,12.3
740,Suriname,Pesticides (total),Use per capita,kg/cap,2020,1.48,latin america and the caribbean,12.3
740,Suriname,Pesticides (total),Use per value of agricultural production,g/Int$,2020,5.15,latin america and the caribbean,12.3
740,Suriname,Insecticides,Agricultural Use,t,2020,184.0,latin america and the caribbean,12.3
740,Suriname,Insecticides â€“ Organo-phosphates,Agricultural Use,t,2020,46.0,latin america and the caribbean,12.3
740,Suriname,Insecticides â€“ Pyrethroids,Agricultural Use,t,2020,343.0,latin america and the caribbean,12.3
740,Suriname,Insecticides - Biopesticides,Agricultural Use,t,2020,2.0,latin america and the caribbean,12.3
740,Suriname,Insecticides - nes,Agricultural Use,t,2020,145.0,latin america and the caribbean,12.3
740,Suriname,Herbicides,Agricultural Use,t,2020,464.0,latin america and the caribbean,12.3
740,Suriname,Herbicides â€“ Phenoxy hormone products,Agricultural Use,t,2020,50.0,latin america and the caribbean,12.3
740,Suriname,Herbicides â€“ Amides,Agricultural Use,t,2020,3.0,latin america and the caribbean,12.3
740,Suriname,Herbicides â€“ Sulfonyl ureas,Agricultural Use,t,2020,5.0,latin america and the caribbean,12.3
740,Suriname,Herbicides â€“ Bipiridils,Agricultural Use,t,2020,108.0,latin america and the caribbean,12.3
740,Suriname,Herbicides - nes,Agricultural Use,t,2020,321.0,latin america and the caribbean,12.3
740,Suriname,Fungicides and Bactericides,Agricultural Use,t,2020,96.0,latin america and the caribbean,12.3
740,Suriname,Fung & Bact â€“ Inorganics,Agricultural Use,t,2020,1.0,latin america and the caribbean,12.3
740,Suriname,Fung & Bact â€“ Dithiocarbamates,Agricultural Use,t,2020,18.0,latin america and the caribbean,12.3
740,Suriname,Fung & Bact â€“ Benzimidazoles,Agricultural Use,t,2020,4.0,latin america and the caribbean,12.3
740,Suriname,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2020,1.0,latin america and the caribbean,12.3
740,Suriname,"Fung & Bact â€“ Diazines, morpholines",Agricultural Use,t,2020,1.0,latin america and the caribbean,12.3
740,Suriname,Fung & Bact - nes,Agricultural Use,t,2020,3.0,latin america and the caribbean,12.3
740,Suriname,Rodenticides,Agricultural Use,t,2020,2.0,latin america and the caribbean,12.3
740,Suriname,Rodenticides â€“ Anti-coagulants,Agricultural Use,t,2020,7.0,latin america and the caribbean,12.3
740,Suriname,Other Pesticides nes,Agricultural Use,t,2020,161.0,latin america and the caribbean,12.3
780,Trinidad and Tobago,Pesticides (total),Agricultural Use,t,2020,1173.0,latin america and the caribbean,12.3
780,Trinidad and Tobago,Pesticides (total),Use per area of cropland,kg/ha,2020,24.96,latin america and the caribbean,12.3
780,Trinidad and Tobago,Pesticides (total),Use per capita,kg/cap,2020,0.79,latin america and the caribbean,12.3
780,Trinidad and Tobago,Pesticides (total),Use per value of agricultural production,g/Int$,2020,7.36,latin america and the caribbean,12.3
780,Trinidad and Tobago,Insecticides,Agricultural Use,t,2020,1019.0,latin america and the caribbean,12.3
780,Trinidad and Tobago,Herbicides,Agricultural Use,t,2020,73.0,latin america and the caribbean,12.3
780,Trinidad and Tobago,Fungicides and Bactericides,Agricultural Use,t,2020,79.0,latin america and the caribbean,12.3
780,Trinidad and Tobago,Plant Growth Regulators,Agricultural Use,t,2020,1.0,latin america and the caribbean,12.3
780,Trinidad and Tobago,Rodenticides,Agricultural Use,t,2020,1.0,latin america and the caribbean,12.3
796,Turks and Caicos Islands,Pesticides (total),Agricultural Use,t,2020,89.0,latin america and the caribbean,12.3
796,Turks and Caicos Islands,Pesticides (total),Use per area of cropland,kg/ha,2020,28.04,latin america and the caribbean,12.3
796,Turks and Caicos Islands,Pesticides (total),Use per capita,kg/cap,2020,1.99,latin america and the caribbean,12.3
796,Turks and Caicos Islands,Insecticides,Agricultural Use,t,2020,12.0,latin america and the caribbean,12.3
796,Turks and Caicos Islands,Herbicides,Agricultural Use,t,2020,57.0,latin america and the caribbean,12.3
796,Turks and Caicos Islands,Fungicides and Bactericides,Agricultural Use,t,2020,14.0,latin america and the caribbean,12.3
796,Turks and Caicos Islands,Other Pesticides nes,Agricultural Use,t,2020,6.0,latin america and the caribbean,12.3
840,United States of America,Pesticides (total),Agricultural Use,t,2020,439593.0,northern america,14.5
840,United States of America,Pesticides (total),Use per area of cropland,kg/ha,2020,2.8,northern america,14.5
840,United States of America,Pesticides (total),Use per capita,kg/cap,2020,1.3,northern america,14.5
840,United States of America,Pesticides (total),Use per value of agricultural production,g/Int$,2020,1.18,northern america,14.5
840,United States of America,Insecticides,Agricultural Use,t,2020,7664.0,northern america,14.5
840,United States of America,Herbicides,Agricultural Use,t,2020,379912.0,northern america,14.5
840,United States of America,Fungicides and Bactericides,Agricultural Use,t,2020,14809.0,northern america,14.5
840,United States of America,Other Pesticides nes,Agricultural Use,t,2020,37207.0,northern america,14.5
858,Uruguay,Pesticides (total),Agricultural Use,t,2020,16446.0,latin america and the caribbean,12.3
858,Uruguay,Pesticides (total),Use per area of cropland,kg/ha,2020,7.97,latin america and the caribbean,12.3
858,Uruguay,Pesticides (total),Use per capita,kg/cap,2020,4.39,latin america and the caribbean,12.3
858,Uruguay,Pesticides (total),Use per value of agricultural production,g/Int$,2020,2.84,latin america and the caribbean,12.3
858,Uruguay,Insecticides,Agricultural Use,t,2020,801.0,latin america and the caribbean,12.3
858,Uruguay,Herbicides,Agricultural Use,t,2020,13574.0,latin america and the caribbean,12.3
858,Uruguay,Fungicides and Bactericides,Agricultural Use,t,2020,1721.0,latin america and the caribbean,12.3
858,Uruguay,Plant Growth Regulators,Agricultural Use,t,2020,17.0,latin america and the caribbean,12.3
858,Uruguay,Rodenticides,Agricultural Use,t,2020,2.0,latin america and the caribbean,12.3
858,Uruguay,Other Pesticides nes,Agricultural Use,t,2020,332.0,latin america and the caribbean,12.3
862,Venezuela (Bolivarian Republic of),Pesticides (total),Agricultural Use,t,2020,3928.0,latin america and the caribbean,12.3
862,Venezuela (Bolivarian Republic of),Pesticides (total),Use per area of cropland,kg/ha,2020,1.19,latin america and the caribbean,12.3
862,Venezuela (Bolivarian Republic of),Pesticides (total),Use per capita,kg/cap,2020,0.14,latin america and the caribbean,12.3
862,Venezuela (Bolivarian Republic of),Insecticides,Agricultural Use,t,2020,767.0,latin america and the caribbean,12.3
862,Venezuela (Bolivarian Republic of),Herbicides,Agricultural Use,t,2020,1499.0,latin america and the caribbean,12.3
862,Venezuela (Bolivarian Republic of),Fungicides and Bactericides,Agricultural Use,t,2020,1662.0,latin america and the caribbean,12.3
660,Anguilla,Pesticides (total),Agricultural Use,t,2021,66.0,latin america and the caribbean,14.52
660,Anguilla,Pesticides (total),Use per capita,kg/cap,2021,4.55,latin america and the caribbean,14.52
660,Anguilla,Insecticides,Agricultural Use,t,2021,9.0,latin america and the caribbean,14.52
660,Anguilla,Herbicides,Agricultural Use,t,2021,42.0,latin america and the caribbean,14.52
660,Anguilla,Fungicides and Bactericides,Agricultural Use,t,2021,11.0,latin america and the caribbean,14.52
660,Anguilla,Other Pesticides nes,Agricultural Use,t,2021,4.0,latin america and the caribbean,14.52
028,Antigua and Barbuda,Pesticides (total),Agricultural Use,t,2021,251.0,latin america and the caribbean,14.52
028,Antigua and Barbuda,Pesticides (total),Use per area of cropland,kg/ha,2021,36.59,latin america and the caribbean,14.52
028,Antigua and Barbuda,Pesticides (total),Use per capita,kg/cap,2021,2.72,latin america and the caribbean,14.52
028,Antigua and Barbuda,Insecticides,Agricultural Use,t,2021,49.0,latin america and the caribbean,14.52
028,Antigua and Barbuda,Herbicides,Agricultural Use,t,2021,184.0,latin america and the caribbean,14.52
028,Antigua and Barbuda,Fungicides and Bactericides,Agricultural Use,t,2021,16.0,latin america and the caribbean,14.52
028,Antigua and Barbuda,Plant Growth Regulators,Agricultural Use,t,2021,3.0,latin america and the caribbean,14.52
032,Argentina,Pesticides (total),Agricultural Use,t,2021,262507.0,latin america and the caribbean,14.52
032,Argentina,Pesticides (total),Use per area of cropland,kg/ha,2021,6.06,latin america and the caribbean,14.52
032,Argentina,Pesticides (total),Use per capita,kg/cap,2021,3.87,latin america and the caribbean,14.52
032,Argentina,Pesticides (total),Use per value of agricultural production,g/Int$,2021,3.48,latin america and the caribbean,14.52
032,Argentina,Insecticides,Agricultural Use,t,2021,3354.0,latin america and the caribbean,14.52
032,Argentina,Herbicides,Agricultural Use,t,2021,249796.0,latin america and the caribbean,14.52
032,Argentina,Fungicides and Bactericides,Agricultural Use,t,2021,4404.0,latin america and the caribbean,14.52
032,Argentina,Plant Growth Regulators,Agricultural Use,t,2021,98.0,latin america and the caribbean,14.52
032,Argentina,Other Pesticides nes,Agricultural Use,t,2021,4854.0,latin america and the caribbean,14.52
533,Aruba,Pesticides (total),Agricultural Use,t,2021,491.0,latin america and the caribbean,14.52
533,Aruba,Pesticides (total),Use per capita,kg/cap,2021,4.57,latin america and the caribbean,14.52
533,Aruba,Insecticides,Agricultural Use,t,2021,66.0,latin america and the caribbean,14.52
533,Aruba,Herbicides,Agricultural Use,t,2021,314.0,latin america and the caribbean,14.52
533,Aruba,Fungicides and Bactericides,Agricultural Use,t,2021,79.0,latin america and the caribbean,14.52
533,Aruba,Plant Growth Regulators,Agricultural Use,t,2021,2.0,latin america and the caribbean,14.52
533,Aruba,Other Pesticides nes,Agricultural Use,t,2021,31.0,latin america and the caribbean,14.52
044,Bahamas,Pesticides (total),Agricultural Use,t,2021,178.0,latin america and the caribbean,14.52
044,Bahamas,Pesticides (total),Use per area of cropland,kg/ha,2021,16.19,latin america and the caribbean,14.52
044,Bahamas,Pesticides (total),Use per capita,kg/cap,2021,0.45,latin america and the caribbean,14.52
044,Bahamas,Pesticides (total),Use per value of agricultural production,g/Int$,2021,3.42,latin america and the caribbean,14.52
044,Bahamas,Insecticides,Agricultural Use,t,2021,125.0,latin america and the caribbean,14.52
044,Bahamas,Herbicides,Agricultural Use,t,2021,6.0,latin america and the caribbean,14.52
044,Bahamas,Fungicides and Bactericides,Agricultural Use,t,2021,24.0,latin america and the caribbean,14.52
044,Bahamas,Plant Growth Regulators,Agricultural Use,t,2021,13.0,latin america and the caribbean,14.52
