Year,Sub-region Name,value
2006,South-eastern Asia,707072.0
2006,Southern Asia,229267.0
2006,Southern Europe,364647.0
2006,Western Asia,50272.0
2006,Western Europe,368200.0
2007,Central Asia,15115.0
2007,Eastern Asia,863752.0
2007,Eastern Europe,314851.0
2007,Latin America and the Caribbean,1611332.0
2007,Northern America,890542.0
2007,Northern Europe,108346.0
2007,South-eastern Asia,880257.0
2007,Southern Asia,203161.0
2007,Southern Europe,397541.0
2007,Western Asia,55348.0
2007,Western Europe,400073.0
2008,Central Asia,17324.0
2008,Eastern Asia,875880.0
2008,Eastern Europe,371727.0
2008,Latin America and the Caribbean,1582978.0
2008,Northern America,865994.0
2008,Northern Europe,106514.0
2008,South-eastern Asia,973286.0
2008,Southern Asia,166044.0
2008,Southern Europe,395743.0
2008,Western Asia,59449.0
2008,Western Europe,342392.0
2009,Central Asia,19875.0
2009,Eastern Asia,890846.0
2009,Eastern Europe,310194.0
2009,Latin America and the Caribbean,1487788.0
2009,Northern America,825930.0
2009,Northern Europe,101222.0
2009,South-eastern Asia,985407.0
2009,Southern Asia,193003.0
2009,Southern Europe,350293.0
2009,Western Asia,58521.0
2009,Western Europe,292590.0
2010,Central Asia,15175.0
2010,Eastern Asia,887034.0
2010,Eastern Europe,393369.0
2010,Latin America and the Caribbean,1831487.0
2010,Northern America,871913.0
2010,Northern Europe,87721.0
2010,South-eastern Asia,1123082.0
2010,Southern Asia,227365.0
2010,Southern Europe,356216.0
2010,Western Asia,61031.0
2010,Western Europe,289580.0
2011,Central Asia,23846.0
2011,Eastern Asia,884874.0
2011,Eastern Europe,475616.0
2011,Latin America and the Caribbean,1851810.0
2011,Northern America,906995.0
2011,Northern Europe,117089.0
2011,South-eastern Asia,951724.0
2011,Southern Asia,187869.0
2011,Southern Europe,470511.0
2011,Western Asia,62527.0
2011,Western Europe,373811.0
2012,Central Asia,19986.0
2012,Eastern Asia,900693.0
2012,Eastern Europe,515901.0
2012,Latin America and the Caribbean,1946293.0
2012,Northern America,962827.0
2012,Northern Europe,112078.0
2012,South-eastern Asia,1030005.0
2012,Southern Asia,194274.0
2012,Southern Europe,419308.0
2012,Western Asia,60444.0
2012,Western Europe,387930.0
2013,Central Asia,20064.0
2013,Eastern Asia,899723.0
2013,Eastern Europe,503694.0
2013,Latin America and the Caribbean,1967956.0
2013,Northern America,1000991.0
2013,Northern Europe,98874.0
2013,South-eastern Asia,1004816.0
2013,Southern Asia,195219.0
2013,Southern Europe,433748.0
2013,Western Asia,61834.0
2013,Western Europe,387556.0
2014,Central Asia,25027.0
2014,Eastern Asia,901476.0
2014,Eastern Europe,485675.0
2014,Latin America and the Caribbean,2221418.0
2014,Northern America,979274.0
2014,Northern Europe,109155.0
2014,South-eastern Asia,943821.0
2014,Southern Asia,184362.0
2014,Southern Europe,455301.0
2014,Western Asia,64599.0
2014,Western Europe,423402.0
2015,Central Asia,24116.0
2015,Eastern Asia,1037398.0
2015,Eastern Europe,398434.0
2015,Latin America and the Caribbean,1951609.0
2015,Northern America,998010.0
2015,Northern Europe,109129.0
2015,South-eastern Asia,1090134.0
2015,Southern Asia,196278.0
2015,Southern Europe,451614.0
2015,Western Asia,61489.0
2015,Western Europe,400488.0
2016,Central Asia,23761.0
2016,Eastern Asia,1042678.0
2016,Eastern Europe,414294.0
2016,Latin America and the Caribbean,1968952.0
2016,Northern America,1085557.0
2016,Northern Europe,102569.0
2016,South-eastern Asia,1190641.0
2016,Southern Asia,220478.0
2016,Southern Europe,440493.0
2016,Western Asia,61023.0
2016,Western Europe,417836.0
2017,Central Asia,31015.0
2017,Eastern Asia,1044510.0
2017,Eastern Europe,406876.0
2017,Latin America and the Caribbean,2240423.0
2017,Northern America,1096357.0
2017,Northern Europe,101072.0
2017,South-eastern Asia,998427.0
2017,Southern Asia,199705.0
2017,Southern Europe,415435.0
2017,Western Asia,64582.0
2017,Western Europe,415162.0
2018,Central Asia,29761.0
2018,Eastern Asia,1023851.0
2018,Eastern Europe,395517.0
2018,Latin America and the Caribbean,2056768.0
2018,Northern America,1090289.0
2018,Northern Europe,99984.0
2018,South-eastern Asia,1064108.0
2018,Southern Asia,185862.0
2018,Southern Europe,422138.0
2018,Western Asia,67856.0
2018,Western Europe,447289.0
2019,Central Asia,31086.0
2019,Eastern Asia,744339.0
2019,Eastern Europe,402427.0
2019,Latin America and the Caribbean,2325257.0
2019,Northern America,1046553.0
2019,Northern Europe,100420.0
2019,South-eastern Asia,1096328.0
2019,Southern Asia,182272.0
2019,Southern Europe,402323.0
2019,Western Asia,79375.0
2019,Western Europe,358467.0
2020,Central Asia,33760.0
2020,Eastern Asia,707274.0
2020,Eastern Europe,425452.0
2020,Latin America and the Caribbean,2521498.0
2020,Northern America,1065423.0
2020,Northern Europe,97154.0
2020,South-eastern Asia,851218.0
2020,Southern Asia,201968.0
2020,Southern Europe,436680.0
2020,Western Asia,136503.0
2020,Western Europe,400377.0
2021,Central Asia,42297.0
2021,Eastern Asia,687249.0
2021,Eastern Europe,455234.0
2021,Latin America and the Caribbean,2701316.0
2021,Northern America,1071870.0
2021,Northern Europe,93880.0
2021,South-eastern Asia,1127700.0
2021,Southern Asia,184529.0
2021,Southern Europe,420226.0
2021,Western Asia,65751.0
2021,Western Europe,418936.0
2022,Central Asia,32036.0
2022,Eastern Asia,671983.0
2022,Eastern Europe,419650.0
2022,Latin America and the Caribbean,2779607.0
2022,Northern America,1047475.0
2022,Northern Europe,98282.0
2022,South-eastern Asia,1152960.0
2022,Southern Asia,184084.0
2022,Southern Europe,347141.0
2022,Western Asia,69021.0
2022,Western Europe,404316.0
2023,Central Asia,23441.0
2023,Eastern Asia,645412.0
2023,Eastern Europe,405140.0
2023,Latin America and the Caribbean,2661513.0
2023,Northern America,1050557.0
2023,Northern Europe,81741.0
2023,South-eastern Asia,1156064.0
2023,Southern Asia,184280.0
2023,Southern Europe,316265.0
2023,Western Asia,53779.0
2023,Western Europe,367314.0
